CPTCodes,label,
0003T,Cervicography,
0008T,Upper gi endoscopy w/suture,
0010T,"Tb test, gamma interferon",
0016T,Thermotx choroid vasc lesion,
0017T,Photocoagulat macular drusen,
0018T,Transcranial magnetic stimul,
0019T,"Extracorp shock wave tx, ms",
0020T,"Extracorp shock wave tx, ft",
0021T,"Fetal oximetry, trnsvag/cerv",
0023T,"Phenotype drug test, hiv 1",
0024T,Transcath cardiac reduction,
0026T,Measure remnant lipoproteins,
0027T,Endoscopic epidural lysis,
0028T,Dexa body composition study,
0029T,Magnetic tx for incontinence,
0030T,Antiprothrombin antibody,
0031T,Speculoscopy,
0032T,Speculoscopy w/direct sample,
0033T,Endovasc taa repr incl subcl,
0034T,Endovasc taa repr w/o subcl,
0035T,"Insert endovasc prosth, taa",
0036T,"Endovasc prosth, taa, add-on",
0037T,Artery transpose/endovas taa,
0038T,Rad endovasc taa rpr w/cover,
0039T,"Rad s/i, endovasc taa repair",
0040T,"Rad s/i, endovasc taa prosth",
0041T,Detect ur infect agnt w/cpas,
0042T,"Ct perfusion w/contrast, cbf",
0043T,Co expired gas analysis,
0044T,Whole body photography,
0045T,Whole body photography,
0046T,"Cath lavage, mammary duct(s",
0047T,"Cath lavage, mammary duct(s)",
0048T,Implant ventricular device,
0049T,External circulation assist,
0050T,Removal circulation assist,
0051T,Implant total heart system,
0052T,Replace component heart syst,
0053T,Replace component heart syst,
0054T,Bone surgery using computer,
0055T,Bone surgery using computer,
0056T,Bone surgery using computer,
0058T,"Cryopreservation, ovary tiss",
0059T,"Cryopreservation, oocyte",
0060T,Electrical impedance scan,
0061T,"Destruction of tumor, breast",
0062T,Rep intradisc annulus,1 lev
0063T,Rep intradisc annulus,>1lev
0064T,Spectroscop eval expired gas,
0065T,Ocular photoscreen bilat,
0066T,Ct colonography,screen
0067T,Ct colonography,dx
0068T,Interp/rept heart sound,
0069T,Analysis only heart sound,
0070T,Interp only heart sound,
0071T,U/s leiomyomata ablate <200,
0072T,U/s leiomyomata ablate >200,
0073T,"Delivery, comp imrt",
